N,Iteration,Molecule,LowestRMSD
1,8,mol1,3.768734180729651
1,8,mol2,5.331637750629668
1,8,mol3,2.490163741890997
1,8,mol4,2.164215476895677
1,8,mol5,5.320809683351925
1,8,mol6,4.1728873093325785
1,8,mol7,3.8796240926829904
1,8,mol8,1.8335234681230277
1,8,mol9,2.3395685742705394
1,8,mol10,0.8861188989960065
1,8,mol11,3.436442628805467
1,8,mol12,4.392160448695304
1,8,mol13,6.4252081232726175
1,8,mol14,0.8063614954543351
1,8,mol15,0.8923107744266539
1,8,mol16,3.49043894775428
1,8,mol17,6.046569263923847
1,8,mol18,3.6679243919415785
1,8,mol19,9.844464760085442
1,8,mol20,5.999134879792747
1,8,mol21,6.303901900342586
1,8,mol22,0.8085237205343245
1,8,mol23,1.23807996216024
1,8,mol24,6.2016195568916554
1,8,mol25,2.431799266952353
1,8,mol26,3.7346309595559877
1,8,mol27,3.8186768776632567
1,8,mol28,1.112914200853569
1,8,mol29,0.9278417151979849
1,8,mol30,1.2637813155723356
1,8,mol31,1.5748531399590964
1,8,mol32,6.858712554538897
1,8,mol33,3.36320135662437
1,8,mol34,4.268528190673154
1,8,mol35,4.925231194900987
1,8,mol36,2.813674891464389
1,8,mol37,5.019034650043107
1,8,mol38,6.455338415993387
1,8,mol39,5.164036923819525
1,8,mol40,1.0580483857420833
1,8,mol41,0.9265796421020129
1,8,mol42,0.8591382092722791
1,8,mol43,3.704549057015352
1,8,mol44,5.523456668742011
1,8,mol45,1.9915887135651273
1,8,mol46,5.759968169137194
1,8,mol47,5.9059053538886745
1,8,mol48,3.7515679199629632
1,8,mol49,1.1965938169204735
1,8,mol50,3.2794667324956133
1,8,mol51,6.716801488325484
1,8,mol52,1.1218231598607684
1,8,mol53,1.7351765006503201
1,8,mol54,3.0598966935176097
1,8,mol55,5.203729120515969
1,8,mol56,1.3149858844299436
1,8,mol57,2.4927549458881835
1,8,mol58,1.1816389305899302
1,8,mol59,1.180611550685115
1,8,mol60,3.8938323724250705
1,8,mol61,6.2553762211435995
1,8,mol62,7.39900955647728
1,8,mol63,5.250632392668638
1,8,mol64,1.0166956838755201
1,8,mol65,4.5529514944251535
1,8,mol66,5.274816914509925
1,8,mol67,3.0409012266102953
1,8,mol68,2.266916160526706
1,8,mol69,4.961936253280732
1,8,mol70,6.534253121731446
1,8,mol71,1.610023883939969
1,8,mol72,5.009369015931825
1,8,mol73,2.7714834942792828
