mol_id,ligand,receptor,score
mol12,rec_2_mol12.sdf,rec_final_2-noH.pdb,24.8363
mol12,rec_1_mol12.sdf,rec_final_1-noH.pdb,24.7403
mol12,rec_7_mol12.sdf,rec_final_7-noH.pdb,23.5565
mol12,rec_13_mol12.sdf,rec_final_13-noH.pdb,23.3035
mol12,rec_18_mol12.sdf,rec_final_18-noH.pdb,23.1240
mol12,rec_8_mol12.sdf,rec_final_8-noH.pdb,22.7592
mol12,rec_4_mol12.sdf,rec_final_4-noH.pdb,22.7334
mol12,rec_19_mol12.sdf,rec_final_19-noH.pdb,22.0756
mol12,rec_5_mol12.sdf,rec_final_5-noH.pdb,22.0275
mol12,rec_10_mol12.sdf,rec_final_10-noH.pdb,21.7357
mol12,rec_11_mol12.sdf,rec_final_11-noH.pdb,21.5510
mol12,rec_16_mol12.sdf,rec_final_16-noH.pdb,21.1633
mol12,rec_9_mol12.sdf,rec_final_9-noH.pdb,20.9234
mol12,rec_14_mol12.sdf,rec_final_14-noH.pdb,20.7703
mol12,rec_15_mol12.sdf,rec_final_15-noH.pdb,20.6243
mol12,rec_12_mol12.sdf,rec_final_12-noH.pdb,20.5404
mol13,rec_17_mol13.sdf,rec_final_17-noH.pdb,31.1149
mol13,rec_2_mol13.sdf,rec_final_2-noH.pdb,29.7904
mol13,rec_7_mol13.sdf,rec_final_7-noH.pdb,29.5331
mol13,rec_20_mol13.sdf,rec_final_20-noH.pdb,27.9858
mol13,rec_12_mol13.sdf,rec_final_12-noH.pdb,27.1730
mol13,rec_19_mol13.sdf,rec_final_19-noH.pdb,27.0238
mol13,rec_8_mol13.sdf,rec_final_8-noH.pdb,26.4677
mol13,rec_6_mol13.sdf,rec_final_6-noH.pdb,26.1338
mol13,rec_5_mol13.sdf,rec_final_5-noH.pdb,25.9052
mol13,rec_9_mol13.sdf,rec_final_9-noH.pdb,25.6596
mol13,rec_11_mol13.sdf,rec_final_11-noH.pdb,25.6544
mol13,rec_14_mol13.sdf,rec_final_14-noH.pdb,25.2907
mol13,rec_3_mol13.sdf,rec_final_3-noH.pdb,25.0555
mol13,rec_4_mol13.sdf,rec_final_4-noH.pdb,24.3608
