mol_id,ligand,receptor,score
mol11,rec_16_mol11.sdf,rec_final_16-noH.pdb,20.4238
mol11,rec_3_mol11.sdf,rec_final_3-noH.pdb,19.8140
mol11,rec_1_mol11.sdf,rec_final_1-noH.pdb,19.4239
mol11,rec_15_mol11.sdf,rec_final_15-noH.pdb,19.2370
mol11,rec_20_mol11.sdf,rec_final_20-noH.pdb,19.1648
mol11,rec_12_mol11.sdf,rec_final_12-noH.pdb,18.9759
mol11,rec_19_mol11.sdf,rec_final_19-noH.pdb,18.7911
mol11,rec_14_mol11.sdf,rec_final_14-noH.pdb,18.5782
mol11,rec_2_mol11.sdf,rec_final_2-noH.pdb,18.4549
mol11,rec_8_mol11.sdf,rec_final_8-noH.pdb,18.2837
mol11,rec_17_mol11.sdf,rec_final_17-noH.pdb,18.1515
mol11,rec_4_mol11.sdf,rec_final_4-noH.pdb,17.8937
mol11,rec_18_mol11.sdf,rec_final_18-noH.pdb,17.7507
mol11,rec_10_mol11.sdf,rec_final_10-noH.pdb,16.6827
mol11,rec_6_mol11.sdf,rec_final_6-noH.pdb,16.0829
mol12,rec_3_mol12.sdf,rec_final_3-noH.pdb,28.4319
mol12,rec_17_mol12.sdf,rec_final_17-noH.pdb,27.0019
mol12,rec_20_mol12.sdf,rec_final_20-noH.pdb,25.5570
mol12,rec_6_mol12.sdf,rec_final_6-noH.pdb,25.5538
mol12,rec_2_mol12.sdf,rec_final_2-noH.pdb,25.1867
mol12,rec_1_mol12.sdf,rec_final_1-noH.pdb,24.7359
mol12,rec_15_mol12.sdf,rec_final_15-noH.pdb,23.6478
mol12,rec_7_mol12.sdf,rec_final_7-noH.pdb,23.5585
mol12,rec_18_mol12.sdf,rec_final_18-noH.pdb,23.0977
mol12,rec_19_mol12.sdf,rec_final_19-noH.pdb,23.0967
mol12,rec_13_mol12.sdf,rec_final_13-noH.pdb,22.9884
mol12,rec_8_mol12.sdf,rec_final_8-noH.pdb,22.7601
mol12,rec_4_mol12.sdf,rec_final_4-noH.pdb,22.1502
mol12,rec_5_mol12.sdf,rec_final_5-noH.pdb,22.0256
mol12,rec_10_mol12.sdf,rec_final_10-noH.pdb,21.7360
mol12,rec_11_mol12.sdf,rec_final_11-noH.pdb,21.5481
mol12,rec_16_mol12.sdf,rec_final_16-noH.pdb,21.1709
mol12,rec_9_mol12.sdf,rec_final_9-noH.pdb,20.9246
mol12,rec_14_mol12.sdf,rec_final_14-noH.pdb,20.7696
mol12,rec_12_mol12.sdf,rec_final_12-noH.pdb,20.5400
mol13,rec_17_mol13.sdf,rec_final_17-noH.pdb,31.3890
mol13,rec_2_mol13.sdf,rec_final_2-noH.pdb,29.7916
mol13,rec_7_mol13.sdf,rec_final_7-noH.pdb,29.5351
mol13,rec_20_mol13.sdf,rec_final_20-noH.pdb,28.0414
mol13,rec_12_mol13.sdf,rec_final_12-noH.pdb,27.1751
mol13,rec_19_mol13.sdf,rec_final_19-noH.pdb,27.0252
mol13,rec_8_mol13.sdf,rec_final_8-noH.pdb,26.4719
mol13,rec_6_mol13.sdf,rec_final_6-noH.pdb,26.1475
mol13,rec_5_mol13.sdf,rec_final_5-noH.pdb,26.0633
mol13,rec_9_mol13.sdf,rec_final_9-noH.pdb,25.6601
mol13,rec_11_mol13.sdf,rec_final_11-noH.pdb,25.6583
mol13,rec_14_mol13.sdf,rec_final_14-noH.pdb,25.2923
mol13,rec_3_mol13.sdf,rec_final_3-noH.pdb,25.0555
mol13,rec_4_mol13.sdf,rec_final_4-noH.pdb,24.3623
mol13,rec_13_mol13.sdf,rec_final_13-noH.pdb,23.8597
mol13,rec_15_mol13.sdf,rec_final_15-noH.pdb,23.3622
mol13,rec_18_mol13.sdf,rec_final_18-noH.pdb,22.7104
mol13,rec_10_mol13.sdf,rec_final_10-noH.pdb,20.5823
mol13,rec_1_mol13.sdf,rec_final_1-noH.pdb,19.4375
mol13,rec_16_mol13.sdf,rec_final_16-noH.pdb,17.5676
mol14,rec_14_mol14.sdf,rec_final_14-noH.pdb,24.7983
mol14,rec_6_mol14.sdf,rec_final_6-noH.pdb,24.0594
mol14,rec_8_mol14.sdf,rec_final_8-noH.pdb,23.4483
mol14,rec_19_mol14.sdf,rec_final_19-noH.pdb,22.7665
mol14,rec_9_mol14.sdf,rec_final_9-noH.pdb,22.6104
mol14,rec_13_mol14.sdf,rec_final_13-noH.pdb,22.5600
mol14,rec_2_mol14.sdf,rec_final_2-noH.pdb,22.4608
mol14,rec_20_mol14.sdf,rec_final_20-noH.pdb,22.1082
mol14,rec_11_mol14.sdf,rec_final_11-noH.pdb,21.8442
mol14,rec_15_mol14.sdf,rec_final_15-noH.pdb,21.4300
mol14,rec_12_mol14.sdf,rec_final_12-noH.pdb,20.7390
mol14,rec_18_mol14.sdf,rec_final_18-noH.pdb,20.6117
mol14,rec_4_mol14.sdf,rec_final_4-noH.pdb,20.2295
mol14,rec_17_mol14.sdf,rec_final_17-noH.pdb,19.5052
mol14,rec_5_mol14.sdf,rec_final_5-noH.pdb,19.1077
mol14,rec_3_mol14.sdf,rec_final_3-noH.pdb,18.8872
mol14,rec_7_mol14.sdf,rec_final_7-noH.pdb,18.7031
mol14,rec_16_mol14.sdf,rec_final_16-noH.pdb,17.7678
mol14,rec_10_mol14.sdf,rec_final_10-noH.pdb,17.4937
mol14,rec_1_mol14.sdf,rec_final_1-noH.pdb,14.2097
mol15,rec_17_mol15.sdf,rec_final_17-noH.pdb,25.9093
mol15,rec_6_mol15.sdf,rec_final_6-noH.pdb,25.8364
mol15,rec_8_mol15.sdf,rec_final_8-noH.pdb,25.7143
mol15,rec_20_mol15.sdf,rec_final_20-noH.pdb,25.7141
mol15,rec_3_mol15.sdf,rec_final_3-noH.pdb,25.0197
mol15,rec_19_mol15.sdf,rec_final_19-noH.pdb,25.0188
mol15,rec_7_mol15.sdf,rec_final_7-noH.pdb,24.9774
mol15,rec_11_mol15.sdf,rec_final_11-noH.pdb,24.1115
mol15,rec_2_mol15.sdf,rec_final_2-noH.pdb,23.9018
mol15,rec_13_mol15.sdf,rec_final_13-noH.pdb,23.3878
mol15,rec_12_mol15.sdf,rec_final_12-noH.pdb,23.3388
mol15,rec_14_mol15.sdf,rec_final_14-noH.pdb,23.3386
mol15,rec_16_mol15.sdf,rec_final_16-noH.pdb,23.0309
mol15,rec_9_mol15.sdf,rec_final_9-noH.pdb,22.9834
mol15,rec_18_mol15.sdf,rec_final_18-noH.pdb,22.5851
mol15,rec_4_mol15.sdf,rec_final_4-noH.pdb,22.3895
mol15,rec_5_mol15.sdf,rec_final_5-noH.pdb,22.2794
mol15,rec_15_mol15.sdf,rec_final_15-noH.pdb,22.1730
mol15,rec_10_mol15.sdf,rec_final_10-noH.pdb,20.8735
mol15,rec_1_mol15.sdf,rec_final_1-noH.pdb,18.9766
mol16,rec_17_mol16.sdf,rec_final_17-noH.pdb,26.4060
mol16,rec_7_mol16.sdf,rec_final_7-noH.pdb,26.2900
mol16,rec_6_mol16.sdf,rec_final_6-noH.pdb,25.6138
mol16,rec_16_mol16.sdf,rec_final_16-noH.pdb,25.0665
mol16,rec_20_mol16.sdf,rec_final_20-noH.pdb,23.9501
mol16,rec_19_mol16.sdf,rec_final_19-noH.pdb,23.2685
mol16,rec_8_mol16.sdf,rec_final_8-noH.pdb,23.2073
mol16,rec_13_mol16.sdf,rec_final_13-noH.pdb,22.4438
mol16,rec_3_mol16.sdf,rec_final_3-noH.pdb,22.3387
mol16,rec_15_mol16.sdf,rec_final_15-noH.pdb,22.3045
mol16,rec_2_mol16.sdf,rec_final_2-noH.pdb,22.2300
mol16,rec_9_mol16.sdf,rec_final_9-noH.pdb,22.0309
mol16,rec_14_mol16.sdf,rec_final_14-noH.pdb,21.8306
mol16,rec_11_mol16.sdf,rec_final_11-noH.pdb,21.7937
mol16,rec_12_mol16.sdf,rec_final_12-noH.pdb,21.3822
mol16,rec_5_mol16.sdf,rec_final_5-noH.pdb,21.0207
mol16,rec_4_mol16.sdf,rec_final_4-noH.pdb,20.5420
mol16,rec_1_mol16.sdf,rec_final_1-noH.pdb,20.4472
mol16,rec_18_mol16.sdf,rec_final_18-noH.pdb,20.1220
mol16,rec_10_mol16.sdf,rec_final_10-noH.pdb,19.8206
mol17,rec_6_mol17.sdf,rec_final_6-noH.pdb,17.4479
mol17,rec_2_mol17.sdf,rec_final_2-noH.pdb,17.4147
mol17,rec_11_mol17.sdf,rec_final_11-noH.pdb,16.6986
mol17,rec_7_mol17.sdf,rec_final_7-noH.pdb,16.6037
mol17,rec_20_mol17.sdf,rec_final_20-noH.pdb,16.5691
mol17,rec_8_mol17.sdf,rec_final_8-noH.pdb,16.5493
mol17,rec_17_mol17.sdf,rec_final_17-noH.pdb,16.4351
mol17,rec_14_mol17.sdf,rec_final_14-noH.pdb,16.2757
mol17,rec_13_mol17.sdf,rec_final_13-noH.pdb,16.1936
mol17,rec_19_mol17.sdf,rec_final_19-noH.pdb,16.1462
mol17,rec_18_mol17.sdf,rec_final_18-noH.pdb,16.0583
mol17,rec_9_mol17.sdf,rec_final_9-noH.pdb,16.0074
mol17,rec_16_mol17.sdf,rec_final_16-noH.pdb,15.9200
mol17,rec_12_mol17.sdf,rec_final_12-noH.pdb,15.3790
mol17,rec_1_mol17.sdf,rec_final_1-noH.pdb,15.3127
mol17,rec_3_mol17.sdf,rec_final_3-noH.pdb,15.1180
mol17,rec_15_mol17.sdf,rec_final_15-noH.pdb,15.0423
mol17,rec_5_mol17.sdf,rec_final_5-noH.pdb,14.4803
mol17,rec_10_mol17.sdf,rec_final_10-noH.pdb,14.1292
mol17,rec_4_mol17.sdf,rec_final_4-noH.pdb,13.1255
mol18,rec_16_mol18.sdf,rec_final_16-noH.pdb,25.6057
mol18,rec_8_mol18.sdf,rec_final_8-noH.pdb,24.8900
mol18,rec_20_mol18.sdf,rec_final_20-noH.pdb,24.7558
mol18,rec_2_mol18.sdf,rec_final_2-noH.pdb,24.5744
mol18,rec_17_mol18.sdf,rec_final_17-noH.pdb,24.3441
mol18,rec_14_mol18.sdf,rec_final_14-noH.pdb,24.1219
mol18,rec_9_mol18.sdf,rec_final_9-noH.pdb,24.1204
mol18,rec_13_mol18.sdf,rec_final_13-noH.pdb,23.1559
mol18,rec_15_mol18.sdf,rec_final_15-noH.pdb,22.8169
mol18,rec_6_mol18.sdf,rec_final_6-noH.pdb,22.7480
mol18,rec_19_mol18.sdf,rec_final_19-noH.pdb,21.5776
mol18,rec_7_mol18.sdf,rec_final_7-noH.pdb,21.2673
mol18,rec_11_mol18.sdf,rec_final_11-noH.pdb,20.7603
mol18,rec_12_mol18.sdf,rec_final_12-noH.pdb,18.9430
mol18,rec_18_mol18.sdf,rec_final_18-noH.pdb,18.9054
mol18,rec_3_mol18.sdf,rec_final_3-noH.pdb,18.8985
mol18,rec_4_mol18.sdf,rec_final_4-noH.pdb,18.4599
mol18,rec_5_mol18.sdf,rec_final_5-noH.pdb,18.3830
mol18,rec_10_mol18.sdf,rec_final_10-noH.pdb,17.8403
mol18,rec_1_mol18.sdf,rec_final_1-noH.pdb,17.1820
mol19,rec_6_mol19.sdf,rec_final_6-noH.pdb,18.9606
mol19,rec_3_mol19.sdf,rec_final_3-noH.pdb,18.5986
mol19,rec_20_mol19.sdf,rec_final_20-noH.pdb,18.2607
mol19,rec_8_mol19.sdf,rec_final_8-noH.pdb,18.0300
mol19,rec_2_mol19.sdf,rec_final_2-noH.pdb,17.8626
mol19,rec_11_mol19.sdf,rec_final_11-noH.pdb,17.7943
mol19,rec_9_mol19.sdf,rec_final_9-noH.pdb,17.6317
